Géographie;Individus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Iles Du Vent;2619;2826;2879;2938;3081;3095;3137;3362;3314;3200;3160;3270;3281;3208;3400;3424;3540;3513;3414;3224;2927;2936;2929;3162;3154;3246;3195;3302;3381;3447;3463;3373;3334;3324;3297;3229;3192;3057;3022;2871;3089;2852;3094;3013;3072;3074;2987;2931;3053;3017;3091;2724;2673;2662;2579;2366;2238;2201;1969;1946;2017;1890;1727;1750;1423;1428;1193;1188;1179;1067;954;990;912;800;726;711;651;589;513;451;438;357;343;316;280;229;151;169;116;108;88;67;54;29;27;17;8;5;4;8;1;2;207333
Iles Sous-Le-Vent;481;521;535;584;511;569;588;572;619;604;573;572;566;503;567;553;600;561;479;478;485;546;519;572;519;568;531;600;587;562;566;569;553;554;546;482;536;507;483;429;495;506;529;485;515;503;501;444;558;517;525;451;486;467;364;393;392;362;361;331;320;316;276;298;238;265;223;210;214;177;170;186;164;166;146;132;146;107;95;97;86;74;67;56;41;45;32;29;6;18;17;6;9;8;5;4;4;3;;;2;;35393
Marquises;137;153;142;152;151;162;184;174;164;161;185;193;153;142;177;164;145;141;113;127;114;119;125;133;117;129;157;145;152;173;148;142;151;134;136;124;128;141;116;123;126;128;131;116;134;138;136;106;132;130;140;113;125;139;118;131;89;91;104;91;93;81;92;78;80;65;48;57;47;36;47;33;32;40;34;26;32;25;20;22;14;14;19;11;16;8;7;5;8;1;5;3;2;;;;;;;;;;9346
Australes;107;104;119;118;137;123;120;136;115;113;116;131;110;112;128;133;121;112;77;80;77;73;98;101;95;114;100;114;107;100;120;107;98;102;74;96;101;79;82;101;86;85;84;87;91;91;84;99;101;89;109;85;88;74;89;98;77;76;86;60;93;71;70;65;47;61;47;54;39;23;30;35;35;33;27;21;33;20;31;22;17;10;17;21;9;10;8;8;4;5;2;3;1;;1;1;;1;;;;;6965
Tuamotu-Gambier;216;256;245;256;306;257;249;304;252;305;293;301;283;234;280;287;323;292;250;243;251;281;260;289;238;312;284;315;332;302;317;295;317;290;235;277;271;239;239;215;232;253;285;239;258;250;227;234;220;213;212;183;188;225;188;171;180;144;167;137;148;175;134;118;113;94;71;67;77;75;65;60;70;57;51;43;45;26;52;26;29;20;12;10;16;9;6;7;1;1;4;;1;1;;;;;;;;;16881
Anaa;4;12;9;10;16;9;14;11;10;19;12;17;19;20;15;18;12;22;12;13;11;15;13;10;9;10;7;11;12;15;17;9;19;9;14;9;16;12;11;15;10;16;11;7;9;8;12;13;13;8;6;7;3;18;10;12;7;7;6;8;7;10;6;14;4;4;5;6;6;3;4;2;6;5;3;2;1;4;1;;3;;1;2;1;1;1;;;;;;;;;;;;;;;;811
Arutua;24;20;24;31;22;20;16;23;32;22;23;22;20;16;27;33;31;40;37;29;31;33;18;34;28;27;45;41;41;26;31;39;36;30;16;25;31;28;29;25;24;22;27;20;31;26;15;26;23;16;19;16;20;19;20;13;12;20;16;8;15;14;9;5;4;12;10;3;7;5;12;7;4;6;4;6;3;3;3;4;1;1;;;1;2;1;1;;;2;;;;;;;;;;;;1664
Fakarava;22;34;28;28;29;29;18;19;22;28;19;19;26;22;17;20;38;33;21;33;24;27;22;16;20;34;27;31;27;27;29;23;26;27;19;31;27;19;22;17;17;27;35;21;27;30;23;26;22;18;22;12;16;26;23;19;24;12;17;24;17;25;16;18;15;19;5;9;6;5;5;7;8;5;6;2;7;2;4;2;3;;3;2;1;1;;;1;1;;;;1;;;;;;;;;1637
Fangatau;1;5;1;3;7;2;7;6;4;1;9;5;6;3;2;5;5;3;4;4;3;4;3;1;3;8;3;3;6;10;3;13;4;3;4;4;6;4;3;2;4;3;3;4;6;1;2;5;1;8;5;6;1;4;2;2;5;2;2;1;5;1;7;4;2;2;3;2;2;4;4;;3;3;5;;2;;2;1;;1;2;;;1;;;;;;;;;;;;;;;;;296
Gambier;21;23;23;26;18;24;26;28;16;20;29;35;28;12;26;22;27;18;27;26;20;20;33;44;22;36;25;30;29;28;38;35;30;30;24;28;37;26;17;17;24;31;33;26;26;28;28;20;21;14;21;15;12;17;13;10;10;3;10;11;9;11;9;8;6;7;5;7;8;7;3;6;5;5;3;4;2;2;3;3;2;;;1;;;;2;;;;;;;;;;;;;;;1535
Hao;13;14;19;13;31;16;17;25;18;29;26;18;24;18;28;28;29;30;17;19;22;26;24;27;21;25;22;22;20;22;18;18;22;23;23;18;11;13;11;18;15;19;24;21;22;20;23;15;14;16;19;16;17;14;13;16;13;13;10;5;6;11;11;8;4;1;5;4;10;4;7;3;4;1;2;3;3;1;2;;;1;1;;;1;1;1;;;;;;;;;;;;;;;1258
Hikueru;7;6;3;4;6;2;5;2;3;6;4;6;2;4;5;6;3;5;7;3;3;7;1;6;4;5;5;5;4;9;5;11;10;1;3;3;9;4;8;4;2;1;3;4;2;2;5;;3;5;;4;5;5;6;1;6;3;1;2;1;1;4;1;;;;;1;3;1;;;;;;;;4;1;;1;;;;;;;;;1;;;;;;;;;;;;275
Makemo;20;30;22;21;30;31;29;41;21;31;21;29;27;26;25;27;30;41;24;17;20;17;38;24;24;31;21;30;32;19;26;20;26;24;17;33;22;29;33;10;25;26;43;17;19;27;18;17;21;14;25;8;10;18;12;9;8;12;11;8;13;13;6;9;9;4;9;1;5;8;3;8;2;3;;1;2;4;5;2;4;3;2;1;3;;;1;;;;;;;;;;;;;;;1508
Manihi;17;17;20;15;19;17;12;17;12;21;17;22;19;9;17;17;26;12;23;14;21;15;18;24;16;19;15;19;25;28;22;15;19;22;24;16;18;17;23;19;14;16;11;11;22;19;16;21;19;22;20;11;14;17;16;13;7;6;19;8;12;9;8;3;8;5;2;5;2;11;4;3;5;2;3;6;2;2;;1;2;2;;1;3;;;;;;;;;;;;;;;;;;1141
Napuka;3;4;3;6;6;7;7;12;2;5;7;10;2;2;8;4;4;5;2;2;1;2;;1;2;2;8;2;5;5;6;9;5;5;3;4;7;6;4;3;7;2;3;3;4;6;4;4;2;6;3;5;1;4;3;1;4;4;5;2;3;3;3;3;3;1;;;1;1;;3;;1;2;1;1;1;2;;1;;;;;;;;;;;;;;;;;;;;;;284
Nukutavake;5;7;6;6;5;5;5;3;3;3;4;6;3;2;6;2;9;4;4;6;1;7;6;7;7;9;3;7;10;2;8;9;4;6;2;3;2;4;3;7;4;5;2;6;4;2;;3;1;5;4;1;8;1;4;3;2;;2;1;3;3;2;5;;3;;1;1;4;2;1;1;2;2;;2;;1;;1;1;;;;1;;;;;;;;;;;;;;;;;295
Pukapuka;3;;2;2;3;2;1;7;7;6;7;4;2;;5;1;1;3;1;3;3;6;;;1;;6;2;3;;2;1;1;4;3;;;2;1;4;;5;2;4;3;1;5;2;2;2;;2;1;3;;;2;4;2;3;1;4;6;2;1;2;1;3;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;163
Rangiroa;45;50;55;57;67;58;50;71;62;70;72;67;71;63;59;58;62;49;37;35;44;61;54;57;50;60;58;73;64;61;60;54;68;73;56;61;56;52;52;46;49;50;57;56;54;46;54;50;54;52;33;52;48;46;43;43;51;40;42;40;32;39;34;22;32;22;19;14;14;8;9;13;21;15;8;13;12;4;18;7;8;4;2;2;3;1;1;2;;;;;;;;;;;;;;;3657
Reao;5;10;5;8;7;8;6;7;9;13;11;5;8;11;16;7;7;5;11;10;12;13;7;15;6;15;11;9;15;14;10;9;6;6;2;13;8;6;6;5;6;9;7;14;10;9;4;6;4;4;10;7;8;8;6;10;10;6;7;5;6;12;4;5;12;5;;2;4;4;5;2;1;2;4;2;1;;1;2;;3;;;;1;1;;;;;;1;;;;;;;;;;587
Takaroa;14;17;16;20;25;19;27;18;24;19;21;20;15;16;17;21;29;12;17;20;24;14;13;11;16;20;16;19;21;26;29;16;27;16;18;20;14;13;16;17;19;14;20;12;15;17;13;18;12;15;21;13;18;19;12;14;12;10;12;9;12;12;6;7;9;5;7;4;6;8;5;2;7;5;6;2;4;2;5;2;3;;1;1;4;;1;;;;1;;;;;;;;;;;;1175
Tatakoto;6;;6;2;6;6;5;5;2;4;3;7;1;3;4;7;5;3;3;4;4;8;5;7;2;6;1;5;10;4;5;7;7;4;3;3;3;2;;3;6;4;;5;1;7;3;6;6;3;3;1;1;2;2;3;3;;2;;3;4;1;;3;;;3;2;;;2;3;2;2;;1;;;1;1;2;;;;;;;;;;;;;;;;;;;;;259
Tureia;6;7;3;4;9;2;4;9;5;8;8;9;10;7;3;11;5;7;3;5;7;6;5;5;7;5;11;6;8;6;8;7;7;7;4;6;4;2;;3;6;3;4;8;3;1;2;2;2;5;1;7;5;4;3;2;4;2;3;2;3;3;2;4;1;2;;3;2;;1;1;;;1;1;2;1;;;;1;;;;;;;;;;;;;;;;;;;;;336
Total général;3560;3860;3920;4048;4186;4206;4278;4548;4464;4383;4327;4467;4393;4199;4552;4561;4729;4619;4333;4152;3854;3955;3931;4257;4123;4369;4267;4476;4559;4584;4614;4486;4453;4404;4288;4208;4228;4023;3942;3739;4028;3824;4123;3940;4070;4056;3935;3814;4064;3966;4077;3556;3560;3567;3338;3159;2976;2874;2687;2565;2671;2533;2299;2309;1901;1913;1582;1576;1556;1378;1266;1304;1213;1096;984;933;907;767;711;618;584;475;458;414;362;301;204;218;135;133;116;79;67;38;33;22;12;9;4;8;3;2;275918
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Individus par genre;Homme;Femme;Total général;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Iles Du Vent;104603;102730;207333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Iles Sous-Le-Vent;18167;17226;35393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marquises;4917;4429;9346;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australes;3590;3375;6965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tuamotu-Gambier;8973;7908;16881;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anaa;448;363;811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arutua;906;758;1664;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fakarava;875;762;1637;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fangatau;147;149;296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gambier;803;732;1535;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hao;644;614;1258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hikueru;148;127;275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Makemo;806;702;1508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Manihi;661;480;1141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Napuka;157;127;284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nukutavake;157;138;295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pukapuka;86;77;163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rangiroa;1871;1786;3657;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reao;313;274;587;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Takaroa;632;543;1175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tatakoto;140;119;259;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tureia;179;157;336;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total général;140250;135668;275918;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Par âge et par genre;Homme;Femme;Total général;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Iles Du Vent;104603;102730;207333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;1365;1254;2619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1447;1379;2826;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1461;1418;2879;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1529;1409;2938;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1633;1448;3081;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1582;1513;3095;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;1630;1507;3137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;1773;1589;3362;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1695;1619;3314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1605;1595;3200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1617;1543;3160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1692;1578;3270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1666;1615;3281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;1645;1563;3208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1697;1703;3400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1722;1702;3424;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
